state,created_date_ym,count
SC,2015-04,16888
MO,2015-04,16895
CO,2015-02,17015
ID,2015-03,17121
MN,2015-06,17124
TN,2015-07,17133
MN,2015-08,17199
AZ,2014-11,17267
AL,2015-06,17324
TN,2015-06,17503
TN,2015-04,17716
MN,2015-05,17932
MD,2014-11,17992
CO,2015-04,18178
MA,2015-01,18184
AL,2015-02,18839
AZ,2015-01,18901
AZ,2015-04,19035
KY,2015-06,19053
MA,2014-12,19085
MA,2015-07,19087
MA,2015-06,19097
NE,2015-09,19350
MD,2014-12,19369
HI,2015-03,19674
AL,2014-12,19688
WV,2015-09,19869
MS,2015-03,19903
NV,2014-10,19953
MO,2015-05,20100
AZ,2015-02,20119
WI,2015-08,20348
WA,2015-07,20385
SC,2015-05,20543
WA,2015-06,20721
WI,2015-05,20779
WA,2015-01,20907
MO,2015-08,21005
IN,2015-01,21075
IA,2015-03,21197
WI,2015-07,21227
AL,2015-08,21307
WA,2015-02,21458
VA,2014-11,21541
WA,2015-08,21575
KY,2015-05,21660
MA,2015-08,21680
ID,2015-09,21683
WA,2015-04,21927
MA,2015-02,22347
NC,2014-11,22383
WI,2015-06,22424
UT,2015-09,22497
OH,2014-11,22699
KY,2014-11,22700
MA,2015-04,22813
MD,2015-08,22997
AL,2015-05,23055
OR,2015-03,23175
NV,2015-03,23370
IN,2015-07,23449
IN,2015-02,23485
NV,2015-09,23500
VA,2014-12,23633
AR,2015-03,23639
NE,2014-10,23677
MD,2015-01,23721
TN,2015-05,23957
MD,2015-02,24249
WA,2015-05,24452
MD,2015-06,24457
MA,2015-05,24683
IA,2014-10,24739
IA,2015-09,25094
OR,2015-09,25367
CO,2015-05,25384
MD,2015-07,25464
IN,2014-11,25495
WV,2014-10,25500
NC,2015-01,25717
VA,2015-06,26083
NM,2015-09,26107
VA,2015-01,26143
AZ,2015-05,26268
OH,2015-01,26327
KS,2015-03,26523
TN,2015-08,26528
UT,2014-10,26586
VA,2015-04,26711
MD,2015-04,27046
CT,2015-03,27279
NC,2014-12,27325
NC,2015-06,27378
AZ,2015-06,27428
KY,2015-08,27532
OR,2014-10,27939
VA,2015-02,28214
IN,2015-04,28680
IN,2014-12,29157
AZ,2015-07,29315
MD,2015-05,29578
ID,2014-10,29668
NJ,2014-12,29837
NC,2015-02,29934
UT,2015-03,30022
CT,2014-10,30184
NJ,2014-11,30264
VA,2015-08,30721
NC,2015-04,30851
OH,2015-02,30967
OH,2015-06,31188
KY,2015-03,31636
IN,2015-06,31974
VA,2015-07,32034
NM,2014-10,32173
OH,2015-07,32248
NC,2015-07,32324
GA,2014-11,32440
NC,2015-05,32457
MN,2015-03,32786
NJ,2015-02,33059
NJ,2015-01,33230
PA,2014-11,33468
CO,2014-10,33619
NJ,2015-06,33666
AR,2014-10,33919
MI,2015-02,33971
CT,2015-09,34149
MI,2015-01,34369
GA,2014-12,35210
AZ,2015-08,35413
NJ,2015-07,35779
NC,2015-08,36094
IN,2015-05,36180
NJ,2015-08,36454
NJ,2015-04,36678
OH,2014-12,37240
VA,2015-05,37374
MA,2015-03,37397
PA,2015-01,37507
MN,2015-09,37954
PA,2014-12,38094
NJ,2015-05,38456
GA,2015-06,38986
GA,2015-04,39336
CO,2015-09,39535
GA,2015-01,39634
PA,2015-06,39748
OK,2015-03,39752
MI,2015-04,39834
GA,2015-07,39867
MI,2014-12,40379
OH,2015-05,40403
KS,2015-09,40579
MN,2014-10,40650
OH,2015-08,40965
OH,2015-04,41006
PA,2015-02,41051
SC,2015-03,41348
LA,2015-03,41507
GA,2015-02,42009
MO,2015-03,42790
PA,2015-08,42859
PA,2015-07,43730
IL,2015-02,44278
FL,2014-11,44767
PA,2015-05,44924
CO,2015-03,45208
IL,2014-12,45806
IL,2015-01,46791
PA,2015-04,46794
MA,2015-09,47538
WI,2015-03,47625
GA,2015-08,47853
MI,2015-07,48444
IL,2014-11,49025
NY,2014-12,49143
TN,2015-03,50141
AZ,2014-10,50558
AL,2015-03,50741
WA,2015-09,50793
WA,2014-10,50807
NY,2014-11,50872
GA,2015-05,51029
IL,2015-06,51122
WA,2015-03,51687
NY,2015-02,51990
NY,2015-07,52552
NY,2015-06,52905
MI,2015-08,53238
NY,2015-05,53797
IL,2015-07,53872
NY,2015-01,54138
AR,2015-09,54376
NY,2015-08,54904
LA,2014-10,55246
MA,2014-10,55556
AL,2014-10,55853
MS,2015-09,56492
KS,2014-10,56665
MS,2014-10,56856
OK,2015-09,56996
WI,2014-10,57957
FL,2015-01,58000
IL,2015-04,58113
MD,2015-09,58506
WI,2015-09,59309
MI,2015-06,59484
NY,2015-04,59501
MD,2014-10,60810
MI,2014-11,60854
IN,2015-08,61016
IN,2015-03,61489
FL,2014-12,61817
AZ,2015-03,61871
IL,2015-08,62203
FL,2015-06,62805
MD,2015-03,64319
FL,2015-04,65179
SC,2015-09,65437
LA,2015-09,65439
MI,2015-05,65980
SC,2014-10,66029
MO,2015-09,67058
IL,2015-05,67380
FL,2015-08,69051
FL,2015-07,70900
FL,2015-02,73000
VA,2015-03,73578
OK,2014-10,77800
TX,2014-11,78305
AZ,2015-09,79584
FL,2015-05,79748
OH,2015-03,84185
NJ,2015-03,84728
MO,2014-10,85208
VA,2015-09,88451
NJ,2015-09,88558
MI,2015-03,88847
KY,2015-09,89661
KY,2014-10,90034
TX,2015-01,90068
PA,2015-03,90582
VA,2014-10,91144
NC,2015-03,93963
TX,2015-02,94564
TX,2015-06,95794
AL,2015-09,95904
TX,2015-07,97480
NJ,2014-10,97762
TX,2015-04,103694
TX,2014-12,104542
TN,2015-09,105016
TN,2014-10,106699
TX,2015-08,110816
GA,2015-03,111426
CA,2014-11,115061
NY,2015-03,117927
TX,2015-05,120662
CA,2014-12,121600
PA,2015-09,123262
CA,2015-01,124658
GA,2014-10,128863
NC,2015-09,129398
CA,2015-02,131914
NY,2015-09,133180
